,bowler_name,year,runs_conceded,balls_bowled,wickets_taken,num_dots,num_spells,team,average,wickets_per_spell,strike_rate,economy_rate,prop_dot
905,Sohail Tanvir,11-13,529.0,493,24.0,229,23,Pakistan,22.0416666667,1.04347826087,20.5416666667,6.43813387424,46.4503042596
906,Sohail Tanvir,14-16,339.0,284,16.0,122,12,Pakistan,21.1875,1.33333333333,17.75,7.16197183099,42.9577464789
907,Sompal Kami,14-16,261.0,235,12.0,111,11,Nepal,21.75,1.09090909091,19.5833333333,6.66382978723,47.2340425532
908,Soumya Sarkar,14-16,11.0,6,0.0,1,1,Bangladesh,inf,0.0,inf,11.0,16.6666666667
909,Sreenath Aravind,14-16,44.0,22,1.0,4,1,India,44.0,1.0,22.0,12.0,18.1818181818
910,Sreesanth,05-07,236.0,201,9.0,117,8,India,26.2222222222,1.125,22.3333333333,7.0447761194,58.2089552239
911,Sreesanth,08-10,25.0,18,0.0,8,1,India,inf,0.0,inf,8.33333333333,44.4444444444
912,Stefan Kelly,08-10,47.0,45,3.0,23,2,Bermuda,15.6666666667,1.5,15.0,6.26666666667,51.1111111111
913,Stephen Parry,14-16,138.0,96,4.0,29,5,England,34.5,0.8,24.0,8.625,30.2083333333
914,Steve Harmison,05-07,39.0,42,1.0,22,2,England,39.0,0.5,42.0,5.57142857143,52.380952381
915,Steve O'Keefe,08-10,24.0,25,2.0,11,1,Australia,12.0,2.0,12.5,5.76,44.0
916,Steve O'Keefe,11-13,119.0,91,2.0,31,6,Australia,59.5,0.333333333333,45.5,7.84615384615,34.0659340659
917,Steve Tikolo,05-07,20.0,8,0.0,2,1,Kenya,inf,0.0,inf,15.0,25.0
918,Steve Tikolo,08-10,94.0,98,5.0,50,5,Kenya,18.8,1.0,19.6,5.75510204082,51.0204081633
919,Steve Tikolo,11-13,47.0,68,9.0,34,4,Kenya,5.22222222222,2.25,7.55555555556,4.14705882353,50.0
920,Steven Finn,11-13,453.0,411,23.0,214,17,England,19.6956521739,1.35294117647,17.8695652174,6.61313868613,52.0681265207
921,Steven Finn,14-16,96.0,72,3.0,27,3,England,32.0,1.0,24.0,8.0,37.5
922,Steven Smith,08-10,328.0,259,16.0,90,14,Australia,20.5,1.14285714286,16.1875,7.59845559846,34.749034749
923,Steven Smith,11-13,40.0,30,1.0,11,2,Australia,40.0,0.5,30.0,8.0,36.6666666667
924,Steven Smith,14-16,4.0,6,0.0,2,1,Australia,inf,0.0,inf,4.0,33.3333333333
925,Steven Welsh,08-10,6.0,18,2.0,12,1,Canada,3.0,2.0,9.0,2.0,66.6666666667
926,Stuart Binny,14-16,22.0,24,2.0,10,2,India,11.0,1.0,12.0,5.5,41.6666666667
927,Stuart Broad,05-07,274.0,187,10.0,82,8,England,27.4,1.25,18.7,8.79144385027,43.8502673797
928,Stuart Broad,08-10,425.0,422,25.0,197,19,England,17.0,1.31578947368,16.88,6.04265402844,46.682464455
929,Stuart Broad,11-13,489.0,408,22.0,189,18,England,22.2272727273,1.22222222222,18.5454545455,7.19117647059,46.3235294118
930,Stuart Broad,14-16,206.0,156,8.0,71,8,England,25.75,1.0,19.5,7.92307692308,45.5128205128
931,Stuart Clark,05-07,226.0,223,14.0,109,9,Australia,16.1428571429,1.55555555556,15.9285714286,6.08071748879,48.8789237668
932,Stuart Matsikenyeri,08-10,20.0,12,0.0,1,2,Zimbabwe,inf,0.0,inf,10.0,8.33333333333
933,Stuart Matsikenyeri,11-13,3.0,4,0.0,1,1,Zimbabwe,inf,0.0,inf,4.5,25.0
934,Stuart Meaker,11-13,59.0,54,3.0,25,2,England,19.6666666667,1.5,18.0,6.55555555556,46.2962962963
935,Stuart Thompson,14-16,118.0,122,3.0,62,9,Ireland,39.3333333333,0.333333333333,40.6666666667,5.80327868852,50.8196721311
936,Sudeep Tyagi,08-10,20.0,13,0.0,6,1,India,inf,0.0,inf,9.23076923077,46.1538461538
937,Sufyan Mehmood,14-16,28.0,29,2.0,17,2,Oman,14.0,1.0,14.5,5.79310344828,58.6206896552
938,Suhrawadi Shuvo,08-10,12.0,6,0.0,2,1,Bangladesh,inf,0.0,inf,12.0,33.3333333333
939,Sulieman Benn,08-10,403.0,360,14.0,146,17,West Indies,28.7857142857,0.823529411765,25.7142857143,6.71666666667,40.5555555556
940,Sulieman Benn,14-16,42.0,18,1.0,6,1,West Indies,42.0,1.0,18.0,14.0,33.3333333333
941,Sunil Dhaniram,08-10,190.0,205,7.0,84,11,Canada,27.1428571429,0.636363636364,29.2857142857,5.56097560976,40.9756097561
942,Sunil Narine,11-13,373.0,390,24.0,178,17,West Indies,15.5416666667,1.41176470588,16.25,5.73846153846,45.641025641
943,Sunil Narine,14-16,296.0,350,17.0,168,15,West Indies,17.4117647059,1.13333333333,20.5882352941,5.07428571429,48.0
944,Suraj Randiv,08-10,114.0,103,7.0,37,6,Sri Lanka,16.2857142857,1.16666666667,14.7142857143,6.64077669903,35.9223300971
945,Suraj Randiv,11-13,23.0,25,1.0,9,1,Sri Lanka,23.0,1.0,25.0,5.52,36.0
946,Suranga Lakmal,11-13,76.0,68,4.0,30,3,Sri Lanka,19.0,1.33333333333,17.0,6.70588235294,44.1176470588
947,Suranga Lakmal,14-16,81.0,44,1.0,12,2,Sri Lanka,81.0,0.5,44.0,11.0454545455,27.2727272727
948,Suresh Raina,08-10,35.0,27,1.0,10,3,India,35.0,0.333333333333,27.0,7.77777777778,37.037037037
949,Suresh Raina,11-13,101.0,73,4.0,22,5,India,25.25,0.8,18.25,8.30136986301,30.1369863014
950,Suresh Raina,14-16,152.0,143,4.0,52,10,India,38.0,0.4,35.75,6.37762237762,36.3636363636
951,Syed Rasel,05-07,163.0,153,3.0,77,7,Bangladesh,54.3333333333,0.428571428571,51.0,6.39215686275,50.3267973856
952,Syed Rasel,08-10,31.0,25,1.0,13,1,Bangladesh,31.0,1.0,25.0,7.44,52.0
953,Tafadzwa Kamungozi,14-16,17.0,12,0.0,2,1,Zimbabwe,inf,0.0,inf,8.5,16.6666666667
954,Tamauri Tucker,08-10,5.0,12,0.0,8,1,Bermuda,inf,0.0,inf,2.5,66.6666666667
955,Tanmay Mishra,11-13,34.0,30,4.0,10,2,Kenya,8.5,2.0,7.5,6.8,33.3333333333
956,Tanveer Ahmed,14-16,31.0,24,2.0,8,1,Hong Kong,15.5,2.0,12.0,7.75,33.3333333333
957,Tanvir Ahmed,08-10,10.0,21,2.0,17,1,Pakistan,5.0,2.0,10.5,2.85714285714,80.9523809524
958,Tanwir Afzal,14-16,435.0,359,15.0,177,17,Hong Kong,29.0,0.882352941176,23.9333333333,7.27019498607,49.3036211699
959,Taskin Ahmed,14-16,160.0,153,6.0,81,7,Bangladesh,26.6666666667,0.857142857143,25.5,6.27450980392,52.9411764706
960,Tatenda Taibu,05-07,41.0,24,0.0,4,2,Zimbabwe,inf,0.0,inf,10.25,16.6666666667
961,Taurai Muzarabani,14-16,228.0,148,4.0,53,7,Zimbabwe,57.0,0.571428571429,37.0,9.24324324324,35.8108108108
962,Tawanda Mupariwa,05-07,42.0,33,1.0,15,2,Zimbabwe,42.0,0.5,33.0,7.63636363636,45.4545454545
963,Tawanda Mupariwa,08-10,35.0,47,0.0,29,2,Zimbabwe,inf,0.0,inf,4.46808510638,61.7021276596
964,Tendai Chatara,08-10,20.0,31,1.0,22,1,Zimbabwe,20.0,1.0,31.0,3.87096774194,70.9677419355
965,Tendai Chatara,11-13,99.0,73,3.0,36,3,Zimbabwe,33.0,1.0,24.3333333333,8.13698630137,49.3150684932
966,Tendai Chatara,14-16,54.0,67,5.0,40,3,Zimbabwe,10.8,1.66666666667,13.4,4.83582089552,59.7014925373
967,Tendai Chisoro,14-16,170.0,171,9.0,81,7,Zimbabwe,18.8888888889,1.28571428571,19.0,5.9649122807,47.3684210526
968,Thijs van Schelven,14-16,30.0,42,3.0,25,2,Netherlands,10.0,1.5,14.0,4.28571428571,59.5238095238
969,Thilan Thushara,08-10,166.0,140,8.0,61,6,Sri Lanka,20.75,1.33333333333,17.5,7.11428571429,43.5714285714
970,Thisara Perera,08-10,100.0,104,6.0,40,6,Sri Lanka,16.6666666667,1.0,17.3333333333,5.76923076923,38.4615384615
971,Thisara Perera,11-13,369.0,259,15.0,89,17,Sri Lanka,24.6,0.882352941176,17.2666666667,8.54826254826,34.3629343629
972,Thisara Perera,14-16,326.0,225,13.0,77,13,Sri Lanka,25.0769230769,1.0,17.3076923077,8.69333333333,34.2222222222
973,Thomas Odoyo,05-07,59.0,65,2.0,41,3,Kenya,29.5,0.666666666667,32.5,5.44615384615,63.0769230769
974,Thomas Odoyo,08-10,55.0,94,3.0,61,3,Kenya,18.3333333333,1.0,31.3333333333,3.51063829787,64.8936170213
975,Thomas Odoyo,11-13,48.0,66,6.0,26,3,Kenya,8.0,2.0,11.0,4.36363636364,39.3939393939
976,Tillakaratne Dilshan,05-07,61.0,67,6.0,28,5,Sri Lanka,10.1666666667,1.2,11.1666666667,5.46268656716,41.7910447761
977,Tillakaratne Dilshan,08-10,87.0,56,2.0,12,7,Sri Lanka,43.5,0.285714285714,28.0,9.32142857143,21.4285714286
978,Tillakaratne Dilshan,11-13,100.0,84,1.0,27,7,Sri Lanka,100.0,0.142857142857,84.0,7.14285714286,32.1428571429
979,Tillakaratne Dilshan,14-16,54.0,42,2.0,13,5,Sri Lanka,27.0,0.4,21.0,7.71428571429,30.9523809524
980,Tim Bresnan,05-07,17.0,15,0.0,9,1,England,inf,0.0,inf,6.8,60.0
981,Tim Bresnan,08-10,296.0,251,10.0,112,12,England,29.6,0.833333333333,25.1,7.07569721116,44.6215139442
982,Tim Bresnan,11-13,268.0,236,11.0,100,11,England,24.3636363636,1.0,21.4545454545,6.81355932203,42.3728813559
983,Tim Bresnan,14-16,271.0,178,5.0,69,9,England,54.2,0.555555555556,35.6,9.13483146067,38.7640449438
984,Tim Gruijters,11-13,73.0,73,3.0,39,5,Netherlands,24.3333333333,0.6,24.3333333333,6.0,53.4246575342
985,Tim Murtagh,11-13,62.0,53,2.0,24,3,Ireland,31.0,0.666666666667,26.5,7.01886792453,45.2830188679
986,Tim Murtagh,14-16,190.0,189,12.0,89,8,Ireland,15.8333333333,1.5,15.75,6.03174603175,47.0899470899
987,Tim Southee,08-10,562.0,410,24.0,157,19,New Zealand,23.4166666667,1.26315789474,17.0833333333,8.2243902439,38.2926829268
988,Tim Southee,11-13,371.0,290,17.0,111,12,New Zealand,21.8235294118,1.41666666667,17.0588235294,7.67586206897,38.275862069
989,Tim Southee,14-16,218.0,153,8.0,56,6,New Zealand,27.25,1.33333333333,19.125,8.54901960784,36.6013071895
990,Timm van der Gugten,11-13,86.0,85,5.0,42,6,Netherlands,17.2,0.833333333333,17.0,6.07058823529,49.4117647059
991,Timm van der Gugten,14-16,309.0,289,20.0,140,13,Netherlands,15.45,1.53846153846,14.45,6.41522491349,48.4429065744
992,Timycen Maruma,08-10,9.0,13,1.0,7,2,Zimbabwe,9.0,0.5,13.0,4.15384615385,53.8461538462
993,Tinashe Panyangara,11-13,100.0,75,4.0,29,3,Zimbabwe,25.0,1.33333333333,18.75,8.0,38.6666666667
994,Tinashe Panyangara,14-16,208.0,167,14.0,78,8,Zimbabwe,14.8571428571,1.75,11.9285714286,7.47305389222,46.7065868263
995,Tino Best,11-13,71.0,84,4.0,43,4,West Indies,17.75,1.0,21.0,5.07142857143,51.1904761905
996,Tino Best,14-16,76.0,43,2.0,18,2,West Indies,38.0,1.0,21.5,10.6046511628,41.8604651163
997,Tinotenda Mutombodzi,11-13,79.0,62,4.0,20,3,Zimbabwe,19.75,1.33333333333,15.5,7.64516129032,32.2580645161
998,Todd Astle,14-16,41.0,24,0.0,5,2,New Zealand,inf,0.0,inf,10.25,20.8333333333
999,Tom Cooper,11-13,71.0,60,0.0,15,5,Netherlands,inf,0.0,inf,7.1,25.0
1000,Tom Cooper,14-16,61.0,42,3.0,11,4,Netherlands,20.3333333333,0.75,14.0,8.71428571429,26.1904761905
1001,Tony Suji,08-10,113.0,107,6.0,47,5,Kenya,18.8333333333,1.2,17.8333333333,6.33644859813,43.9252336449
1002,Travis Head,14-16,9.0,6,0.0,1,1,Australia,inf,0.0,inf,9.0,16.6666666667
1003,Trent Boult,11-13,92.0,64,2.0,28,3,New Zealand,46.0,0.666666666667,32.0,8.625,43.75
1004,Trent Boult,14-16,217.0,195,12.0,95,8,New Zealand,18.0833333333,1.5,16.25,6.67692307692,48.7179487179
1005,Trent Johnston,08-10,312.0,303,21.0,157,13,Ireland,14.8571428571,1.61538461538,14.4285714286,6.17821782178,51.8151815182
1006,Trent Johnston,11-13,292.0,285,12.0,145,13,Ireland,24.3333333333,0.923076923077,23.75,6.14736842105,50.8771929825
1007,Tyron Henderson,05-07,31.0,24,0.0,12,1,South Africa,inf,0.0,inf,7.75,50.0
1008,Tyrone Kane,14-16,77.0,58,7.0,22,3,Ireland,11.0,2.33333333333,8.28571428571,7.96551724138,37.9310344828
1009,Umair Ali,14-16,28.0,24,1.0,7,2,United Arab Emirates,28.0,0.5,24.0,7.0,29.1666666667
1010,Umar Bhatti,08-10,144.0,142,8.0,72,7,Canada,18.0,1.14285714286,17.75,6.08450704225,50.7042253521
1011,Umar Gul,05-07,153.0,193,12.0,94,8,Pakistan,12.75,1.5,16.0833333333,4.75647668394,48.7046632124
1012,Umar Gul,08-10,556.0,545,38.0,258,26,Pakistan,14.6315789474,1.46153846154,14.3421052632,6.12110091743,47.3394495413
1013,Umar Gul,11-13,438.0,371,30.0,159,18,Pakistan,14.6,1.66666666667,12.3666666667,7.08355795148,42.8571428571
1014,Umar Gul,14-16,221.0,158,10.0,67,8,Pakistan,22.1,1.25,15.8,8.39240506329,42.4050632911
1015,Umesh Yadav,11-13,22.0,20,1.0,12,1,India,22.0,1.0,20.0,6.6,60.0
1016,Usman Khan,11-13,57.0,34,0.0,14,2,Pakistan,inf,0.0,inf,10.0588235294,41.1764705882
1017,Vernon Philander,05-07,102.0,87,4.0,43,6,South Africa,25.5,0.666666666667,21.75,7.03448275862,49.4252873563
1018,Vinay Kumar,08-10,81.0,67,5.0,33,3,India,16.2,1.66666666667,13.4,7.25373134328,49.2537313433
1019,Vinay Kumar,11-13,161.0,127,6.0,52,6,India,26.8333333333,1.0,21.1666666667,7.6062992126,40.9448818898
1020,Virat Kohli,11-13,179.0,139,4.0,41,11,India,44.75,0.363636363636,34.75,7.72661870504,29.4964028777
1021,Virender Sehwag,05-07,19.0,7,0.0,0,1,India,inf,0.0,inf,16.2857142857,0.0
1022,Vivian Kingma,14-16,32.0,24,1.0,8,1,Netherlands,32.0,1.0,24.0,8.0,33.3333333333
1023,Wahab Riaz,08-10,59.0,66,3.0,33,5,Pakistan,19.6666666667,0.6,22.0,5.36363636364,50.0
1024,Wahab Riaz,11-13,21.0,27,2.0,17,1,Pakistan,10.5,2.0,13.5,4.66666666667,62.962962963
1025,Wahab Riaz,14-16,348.0,255,14.0,96,11,Pakistan,24.8571428571,1.27272727273,18.2142857143,8.18823529412,37.6470588235
1026,Waqas Khan,14-16,11.0,7,0.0,2,1,Hong Kong,inf,0.0,inf,9.42857142857,28.5714285714
1027,Wayne Parnell,08-10,254.0,228,15.0,93,10,South Africa,16.9333333333,1.5,15.2,6.68421052632,40.7894736842
1028,Wayne Parnell,11-13,321.0,244,10.0,97,13,South Africa,32.1,0.769230769231,24.4,7.89344262295,39.7540983607
1029,Wayne Parnell,14-16,283.0,225,15.0,88,11,South Africa,18.8666666667,1.36363636364,15.0,7.54666666667,39.1111111111
1030,Wellington Masakadza,14-16,108.0,78,3.0,19,4,Zimbabwe,36.0,0.75,26.0,8.30769230769,24.358974359
1031,Willie Gavera,14-16,49.0,55,3.0,26,3,Papua New Guinea,16.3333333333,1.0,18.3333333333,5.34545454545,47.2727272727
1032,Xavier Doherty,11-13,294.0,233,10.0,84,11,Australia,29.4,0.909090909091,23.3,7.57081545064,36.0515021459
1033,Yamin Ahmadzai,14-16,63.0,45,5.0,21,2,Afghanistan,12.6,2.5,9.0,8.4,46.6666666667
1034,Yasir Arafat,05-07,102.0,79,3.0,28,4,Pakistan,34.0,0.75,26.3333333333,7.74683544304,35.4430379747
1035,Yasir Arafat,08-10,83.0,77,4.0,35,3,Pakistan,20.75,1.33333333333,19.25,6.46753246753,45.4545454545
1036,Yasir Arafat,11-13,117.0,90,10.0,42,6,Pakistan,11.7,1.66666666667,9.0,7.8,46.6666666667
1037,Yasir Shah,11-13,39.0,24,0.0,5,2,Pakistan,inf,0.0,inf,9.75,20.8333333333
1038,Younis Khan,05-07,18.0,22,3.0,13,1,Pakistan,6.0,3.0,7.33333333333,4.90909090909,59.0909090909
1039,Yusuf Abdulla,08-10,41.0,45,2.0,26,2,South Africa,20.5,1.0,22.5,5.46666666667,57.7777777778
1040,Yusuf Pathan,05-07,5.0,6,0.0,1,1,India,inf,0.0,inf,5.0,16.6666666667
1041,Yusuf Pathan,08-10,337.0,238,11.0,74,12,India,30.6363636364,0.916666666667,21.6363636364,8.49579831933,31.0924369748
1042,Yusuf Pathan,11-13,87.0,66,3.0,24,4,India,29.0,0.75,22.0,7.90909090909,36.3636363636
1043,Yuvraj Singh,05-07,38.0,18,1.0,4,1,India,38.0,1.0,18.0,12.6666666667,22.2222222222
1044,Yuvraj Singh,08-10,132.0,104,6.0,34,9,India,22.0,0.666666666667,17.3333333333,7.61538461538,32.6923076923
1045,Yuvraj Singh,11-13,199.0,196,18.0,79,11,India,11.0555555556,1.63636363636,10.8888888889,6.09183673469,40.306122449
1046,Yuvraj Singh,14-16,105.0,92,6.0,34,9,India,17.5,0.666666666667,15.3333333333,6.84782608696,36.9565217391
1047,Zaheer Khan,05-07,13.0,26,2.0,17,1,India,6.5,2.0,13.0,3.0,65.3846153846
1048,Zaheer Khan,08-10,300.0,238,10.0,106,11,India,30.0,0.909090909091,23.8,7.56302521008,44.5378151261
1049,Zaheer Khan,11-13,111.0,107,5.0,56,5,India,22.2,1.0,21.4,6.22429906542,52.3364485981
1050,Zaheer Maqsood,14-16,80.0,54,1.0,9,3,United Arab Emirates,80.0,0.333333333333,54.0,8.88888888889,16.6666666667
1051,Zahid Hussain,11-13,46.0,58,3.0,27,3,Canada,15.3333333333,1.0,19.3333333333,4.75862068966,46.5517241379
1052,Zamir Khan,11-13,24.0,26,1.0,9,1,Afghanistan,24.0,1.0,26.0,5.53846153846,34.6153846154
1053,Zeeshan Maqsood,14-16,199.0,132,8.0,42,7,Oman,24.875,1.14285714286,16.5,9.04545454545,31.8181818182
1054,Ziaur Rahman,11-13,61.0,49,2.0,15,4,Bangladesh,30.5,0.5,24.5,7.4693877551,30.612244898
1055,Ziaur Rahman,14-16,63.0,28,1.0,3,3,Bangladesh,63.0,0.333333333333,28.0,13.5,10.7142857143
1056,Zulfiqar Babar,11-13,108.0,90,8.0,45,4,Pakistan,13.5,2.0,11.25,7.2,50.0
1057,Zulfiqar Babar,14-16,74.0,69,4.0,36,3,Pakistan,18.5,1.33333333333,17.25,6.4347826087,52.1739130435
